Unnamed: 0,Cell_area_measured,Cell_architecture,Cell_flexible,Cell_semitransparent,Perovskite_band_gap,Perovskite_deposition_number_of_deposition_steps,Perovskite_deposition_quenching_induced_crystallisation,Stabilised_performance_measured,ETL_thickness_zong,a_ionsMendeleevNumber,a_ionsAtomicWeight,long_formMendeleevNumber,long_formAtomicWeight,long_formElectronegativity,long_formNfValence,Y
0,0.133,2,0,0,1.42,0,1,0,40.0,6.640000000000001,2.47790096,86.98646820027065,23.73876739512855,3.309330175913397,0.0,0
1,0.133,2,0,0,1.42,0,1,0,40.0,92.2,19.956431904,86.98646820027065,23.73876739512855,3.309330175913397,0.0,0
2,0.133,2,0,0,1.42,0,1,0,40.0,92.2,19.956431904,86.98646820027065,23.73876739512855,3.309330175913397,0.0,0
3,0.133,2,0,0,1.42,0,1,0,40.0,92.2,19.956431904,86.98646820027065,23.73876739512855,3.309330175913397,0.0,0
4,0.133,2,0,0,1.42,0,1,0,8.0,92.2,19.956431904,86.98646820027065,23.73876739512855,3.309330175913397,0.0,0
5,0.133,2,0,0,1.42,0,1,0,8.0,92.2,19.956431904,86.98646820027065,23.73876739512855,3.309330175913397,0.0,0
6,0.133,2,0,0,1.42,0,1,0,8.0,92.2,19.956431904,86.98646820027065,23.73876739512855,3.309330175913397,0.0,0
7,0.133,2,0,0,1.42,0,1,0,40.0,92.2,19.956431904,86.98646820027065,23.73876739512855,3.309330175913397,0.0,0
8,0.133,2,0,0,1.42,0,1,0,40.0,92.2,19.956431904,86.98646820027065,23.73876739512855,3.309330175913397,0.0,0
9,0.133,2,0,0,1.42,0,1,0,8.0,92.2,19.956431904,86.98646820027065,23.73876739512855,3.309330175913397,0.0,0
10,0.133,2,0,0,1.42,0,1,0,8.0,92.2,19.956431904,86.98646820027065,23.73876739512855,3.309330175913397,0.0,0
11,0.133,2,0,0,1.42,0,1,0,8.0,92.2,19.956431904,86.98646820027065,23.73876739512855,3.309330175913397,0.0,0
12,0.133,2,0,0,1.42,0,1,0,8.0,92.2,19.956431904,86.98646820027065,23.73876739512855,3.309330175913397,0.0,0
13,0.058,2,0,0,1.54,0,1,0,90.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,0
14,0.058,2,0,0,1.54,0,1,0,90.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,0
15,0.058,2,0,0,1.54,0,1,0,90.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,0
16,0.058,2,0,0,1.54,0,1,0,90.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,0
17,0.058,2,0,0,1.54,0,1,0,90.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,0
18,0.058,2,0,0,1.54,0,1,0,90.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,0
19,0.058,2,0,0,1.54,0,1,0,90.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,0
20,0.058,2,0,0,1.54,0,1,0,90.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,0
21,0.058,2,0,0,1.54,0,1,0,10.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,0
22,0.058,2,0,0,1.54,0,1,0,10.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,0
23,0.058,2,0,0,1.54,0,1,0,35.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,0
24,0.058,2,0,0,1.54,0,1,0,35.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,0
25,0.058,2,0,0,1.54,0,1,0,35.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,0
26,0.058,2,0,0,1.54,0,1,0,35.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,0
27,0.058,2,0,0,1.54,0,1,0,35.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,0
28,0.058,2,0,0,1.54,0,1,0,35.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,0
29,0.058,2,0,0,1.54,0,1,0,10.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,0
30,0.058,2,0,0,1.54,0,1,0,10.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,0
31,0.058,2,0,0,1.54,0,1,0,35.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,0
32,0.058,2,0,0,1.54,0,1,0,35.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,0
33,0.058,2,0,0,1.54,0,1,0,35.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,0
34,0.058,2,0,0,1.54,0,1,0,35.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,0
35,0.058,2,0,0,1.54,0,1,0,35.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,0
36,0.058,2,0,0,1.54,0,1,0,2.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,0
38,0.058,2,0,0,1.54,0,1,0,2.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,1
39,0.058,2,0,0,1.54,0,1,0,2.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,0
40,0.058,2,0,0,1.54,0,1,0,2.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,0
41,0.058,2,0,0,1.54,0,1,0,2.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,1
49,0.058,2,0,0,1.54,0,1,0,32.5,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,0
50,0.058,2,0,0,1.54,0,1,0,32.5,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,0
51,0.058,2,0,0,1.54,0,1,0,32.5,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,0
52,0.058,2,0,0,1.54,0,1,0,39.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,0
53,0.058,2,0,0,1.54,0,1,0,39.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,0
54,0.058,2,0,0,1.54,0,1,0,39.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,0
56,0.058,2,0,0,1.54,0,1,0,39.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,0
57,0.058,2,0,0,1.54,0,1,0,35.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,0
58,0.058,2,0,0,1.54,0,1,0,32.5,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,0
59,0.058,2,0,0,1.54,0,1,0,32.5,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,0
60,0.058,2,0,0,1.54,0,1,0,32.5,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,0
61,0.058,2,0,0,1.54,0,1,0,39.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,0
62,0.058,2,0,0,1.54,0,1,0,39.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,0
63,0.058,2,0,0,1.54,0,1,0,39.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,0
64,0.058,2,0,0,1.54,0,1,0,39.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,0
65,0.058,2,0,0,1.54,0,1,0,39.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,1
66,0.058,2,0,0,1.54,0,1,0,39.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,0
69,0.058,2,0,0,1.54,0,1,0,70.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,1
70,0.058,2,0,0,1.54,0,1,0,70.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,0
71,0.058,2,0,0,1.54,0,1,0,70.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,0
72,0.058,2,0,0,1.54,0,1,1,70.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,1
73,0.058,2,0,0,1.54,0,1,0,70.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,0
74,0.058,2,0,0,1.54,0,1,0,70.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,0
75,0.058,2,0,0,1.54,0,1,0,70.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,0
78,0.058,2,0,0,1.54,0,1,0,70.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,0
79,0.058,2,0,0,1.54,0,1,0,70.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,0
82,0.058,2,0,0,1.54,0,1,0,5.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,1
83,0.058,2,0,0,1.54,0,1,0,5.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,1
85,0.058,2,0,0,1.54,0,1,1,5.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,1
86,0.058,2,0,0,1.54,0,1,0,5.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,1
88,0.058,2,0,0,1.54,0,1,0,5.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,1
89,0.058,2,0,0,1.54,0,1,0,5.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,1
91,0.058,2,0,0,1.54,0,1,0,5.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,1
94,0.058,2,0,0,1.54,0,1,0,5.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,1
96,0.058,2,0,0,1.54,0,1,0,10.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,0
97,0.058,2,0,0,1.54,0,1,0,10.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,0
98,0.058,2,0,0,1.54,0,1,0,35.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,0
101,0.058,2,0,0,1.54,0,1,0,35.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,0
103,0.058,2,0,0,1.54,0,1,0,32.5,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,1
107,0.058,2,0,0,1.54,0,1,0,39.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,1
109,0.058,2,0,0,1.54,0,1,0,39.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,1
114,0.058,2,0,0,1.54,0,1,0,2.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,1
117,0.058,2,0,0,1.54,0,1,0,2.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,1
118,0.058,2,0,0,1.54,0,1,0,2.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,1
119,0.058,2,0,0,1.54,0,1,0,32.5,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,1
126,0.058,2,0,0,1.54,0,1,0,26.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,1
127,0.058,2,0,0,1.54,0,1,0,28.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,1
128,0.058,2,0,0,1.54,0,1,0,28.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,0
130,0.058,2,0,0,1.54,0,1,0,39.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,1
132,0.058,2,0,0,1.54,0,1,0,39.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,1
134,0.058,2,0,0,1.54,0,1,0,39.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,1
135,0.058,2,0,0,1.54,0,1,0,39.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,1
137,0.058,2,0,0,1.54,0,1,0,35.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,1
139,0.058,2,0,0,1.54,0,1,0,39.0,88.06000000000002,24.369213707000004,93.84677419354838,77.97846019994623,2.934397849462365,0.1505376344086021,0
